judul,Pasal,Content
PP_No_35_Tahun_2021_cleaned.txt,PASAL 47,"Pemutusan Hubungan Kerja karena alasan Perusahaan  pailit maka Pekerja/Buruh berhak atas:   a. uang pesan gon sebesar 0,5 (nol koma lima) kali  ketentuan Pasal 40 ayat (2);   b. uang penghargaan masa kerja sebesar 1 (satu) kali  ketentuan Pasal 40 ayat (3); dan     2021, No.45 -32-  c. uang penggantian hak sesuai ketentuan Pasal 40        ayat (4)."
PP_No_35_Tahun_2021_cleaned.txt,PASAL 48,Pengusaha dapat melakukan P emutusan Hubungan  Kerja terhadap Pekerja/Buruh karena alasan adanya  permohonan Pemutusan Hubungan Kerja yang  diajukan oleh Pekerja/Buruh dengan alasan Pengusaha  melakukan perbuatan sebagaimana yang dimaksud  dalam Pasal 36 huruf g maka Pekerja/Buruh berhak  atas:  a. uang pesangon sebesar 1 (satu) kali ketentuan                  Pasal 40 ayat (2);   b. uang penghargaan masa kerja sebesar 1 (satu) kali  ketentuan Pasal 40 ayat (3); dan   c. uang penggantian hak sesuai ketentuan Pasal 40      ayat (4).
PP_No_35_Tahun_2021_cleaned.txt,PASAL 49,"Pengusaha dapat melakukan Pemutusan Hubungan  Kerja terhadap Pekerja/Buruh karena alasan adanya  putusan lembaga penyelesaian perselisihan hubungan  industrial yang menyatakan Pengusaha tidak  melakukan perbuatan sebagaimana dimaksud dalam  Pasal 36 huruf g terhada p permohonan yang diajukan  oleh Pekerja/Buruh maka Pekerja/Buruh berhak atas:   a. uang penggantian hak sesuai ketentuan Pasal 40               ayat (4); dan   b. uang pisah yang besarannya diatur dalam  Perjanjian Kerja, Peraturan Perusahaan, atau  Perjanjian Ke rja Bersama."
PP_No_35_Tahun_2021_cleaned.txt,PASAL 50,"Pekerja/Buruh yang mengundurkan diri atas kemauan  sendiri dan memenuhi syarat sebagaimana dimaksud  dalam Pasal 36 huruf i, berhak atas:     2021, No.45 -33-  a. uang penggantian hak sesuai ketentuan Pasal 40              ayat (4); dan   b. uang pisah yang b esarannya diatur dalam  Perjanjian Kerja, Peraturan Perusahaan, atau  Perjanjian Kerja Bersama."
PP_No_35_Tahun_2021_cleaned.txt,PASAL 51,"Pengusaha dapat melakukan Pemutusan Hubungan  Kerja terhadap Pekerja/Buruh karena alasan  Pekerja/Buruh mangkir selama 5 (lima) hari kerja atau  lebih ber turut -turut tanpa keterangan secara tertulis  yang dilengkapi dengan bukti yang sah dan telah  dipanggil oleh Pengusaha 2 (dua) kali secara patut dan  tertulis maka Pekerja/Buruh berhak atas:   a. uang penggantian hak sesuai ketentuan Pasal 40                  ayat (4); dan   b. uang pisah yang besarannya diatur dalam  Perjanjian Kerja, Peraturan Perusahaan, atau  Perjanjian Kerja Bersama."
PP_No_35_Tahun_2021_cleaned.txt,PASAL 52,"(1) Pengusaha dapat melakukan Pemutusan  Hubungan Kerja terhadap Pekerja/Buruh karena  alasan Pekerja/Buruh melakukan p elanggaran  ketentuan yang diatur dalam Perjanjian Kerja,  Peraturan Perusahaan, atau Perjanjian Kerja  Bersama dan sebelumnya telah diberikan surat  peringatan pertama, kedua, dan ketiga secara  berturut -turut maka Pekerja/Buruh berhak atas:   a. uang pesangon s ebesar 0,5 (nol koma lima)  kali ketentuan Pasal 40 ayat (2);   b. uang penghargaan masa kerja sebesar 1 (satu)  kali ketentuan Pasal 40 ayat (3); dan   c. uang penggantian hak sesuai ketentuan Pasal  40 ayat (4).   (2) Pengusaha dapat melakukan Pemutusan  Hubungan Kerja terhadap Pekerja/Buruh karena  2021, No.45 -34-  alasan Pekerja/Buruh melakukan pelanggaran  bersifat mendesak yang diatur dalam Perjanjian  Kerja, Peraturan Perusahaan, atau Perjanjian Kerja  Bersama maka Pekerja/Buruh berhak atas:   a. uang penggantian hak sesuai ketentua n Pasal  40 ayat (4); dan   b. uang pisah yang besarannya diatur dalam  Perjanjian Kerja, Peraturan Perusahaan, atau  Perjanjian Kerja Bersama.   (3) Pengusaha dapat melakukan Pemutusan  Hubungan Kerja sebagaimana dimaksud pada ayat  (2), tanpa pemberitahuan sebaga imana dimaksud  dalam  Pasal 37 ayat (2)."
PP_No_35_Tahun_2021_cleaned.txt,PASAL 53,"(1) Dalam hal Pekerja/Buruh ditahan pihak yang  berwajib karena diduga melakukan tindak pidana  maka Pengusaha tidak wajib membayar Upah,  tetapi wajib memberikan bantuan kepada keluarga  Pekerja/Buruh yang menjadi tanggungannya  dengan ketentuan sebagai berikut:   a. untuk 1 (satu) orang tanggungan, 25% (dua  puluh lima persen) dari Upah;   b. untuk 2 (dua) orang tanggungan, 35% (tiga  puluh lima persen) dari Upah;   c. untuk 3 (tiga) orang tanggungan,  45% (empat  puluh lima persen) dari Upah;   d. untuk 4 (empat) orang tanggungan atau lebih,  50% (lima puluh persen) dari Upah.   (2) Bantuan sebagaimana dimaksud pada ayat (1)  diberikan untuk paling lama 6 (enam) bulan  terhitung sejak hari pertama Pekerja/Buru h  ditahan oleh pihak yang berwajib."
PP_No_35_Tahun_2021_cleaned.txt,PASAL 54,"(1) Pengusaha dapat melakukan Pemutusan  Hubungan Kerja terhadap Pekerja/Buruh karena  2021, No.45 -35-  alasan Pekerja/Buruh tidak dapat melakukan  pekerjaan selama 6 (enam) bulan akibat ditahan  pihak yang berwajib karena diduga m elakukan  tindak pidana sebagaimana dimaksud dalam Pasal  36 huruf l yang menyebabkan kerugian  Perusahaan maka Pekerja/Buruh berhak atas:   a. uang penggantian hak sesuai ketentuan Pasal  40 ayat (4); dan   b. uang pisah yang besarannya diatur dalam  Perjanjian Ke rja, Peraturan Perusahaan, atau  Perjanjian Kerja Bersama.   (2) Pengusaha dapat melakukan Pemutusan  Hubungan Kerja terhadap Pekerja/Buruh karena  alasan Pekerja/Buruh tidak dapat melakukan  pekerjaan selama 6 (enam) bulan akibat ditahan  pihak yang berwajib kar ena diduga melakukan  tindak pidana sebagaimana dimaksud dalam Pasal  36 huruf l yang tidak menyebabkan kerugian  Perusahaan maka Pekerja/Buruh berhak atas:   a. uang penghargaan masa kerja sebesar 1 (satu)  kali ketentuan Pasal 40 ayat (3); dan   b. uang penggant ian hak sesuai ketentuan Pasal  40 ayat (4).   (3) Dalam hal pengadilan memutuskan perkara  pidana sebelum berakhirnya masa 6 (enam) bulan  sebagaimana dimaksud pada ayat (2) dan  Pekerja/Buruh dinyatakan tidak bersalah maka  Pengusaha mempekerjakan Pekerja/Buruh   kembali.   (4) Dalam hal pengadilan memutuskan perkara  pidana sebelum berakhirnya masa 6 (enam) bulan  sebagaimana dimaksud pada ayat (1) dan  Pekerja/Buruh dinyatakan bersalah maka  Pengusaha dapat melakukan Pemutusan  Hubungan Kerja dan Pekerja/Buruh berhak a tas:  a. uang penggantian hak sesuai ketentuan Pasal  40 ayat (4); dan   2021, No.45 -36-  b. uang pisah yang besarannya diatur dalam  Perjanjian Kerja, Peraturan Perusahaan, atau  Perjanjian Kerja Bersama.   (5) Dalam hal pengadilan memutuskan perkara  pidana sebelum berakhirnya ma sa 6 (enam) bulan  sebagaimana dimaksud pada ayat (2) dan  Pekerja/Buruh dinyatakan bersalah maka  Pengusaha dapat melakukan Pemutusan  Hubungan Kerja dan Pekerja/Buruh berhak atas:   a. uang penghargaan masa kerja sebesar 1 (satu)  kali ketentuan Pasal 40 ayat ( 3); dan   b. uang penggantian hak sesuai ketentuan Pasal  40 ayat (4)."
PP_No_35_Tahun_2021_cleaned.txt,PASAL 55,"(1) Pengusaha dapat melakukan Pemutusan  Hubungan Kerja terhadap Pekerja/Buruh karena  alasan Pekerja/Buruh mengalami sakit  berkepanjangan atau cacat akibat kecelakaan kerja  dan t idak dapat melakukan pekerjaannya setelah  melampaui batas 12 (dua belas) bulan maka  Pekerja/Buruh berhak atas:   a. uang pesangon sebesar 2 (dua) kali ketentuan  Pasal 40 ayat (2);   b. uang penghargaan masa kerja sebesar 1 (satu)  kali ketentuan Pasal 40 ayat ( 3); dan   c. uang penggantian hak sesuai ketentuan Pasal  40 ayat (4).   (2) Pekerja/Buruh dapat mengajukan Pemutusan  Hubungan Kerja kepada Pengusaha karena alasan  Pekerja/Buruh mengalami sakit berkepanjangan  atau cacat akibat kecelakaan kerja dan tidak dapat  melakukan pekerjaannya setelah melampaui batas              12 (dua belas) bulan maka Pekerja/Buruh berhak  atas:  a. uang pesangon sebesar 2 (dua) kali ketentuan  Pasal 40 ayat (2);   2021, No.45 -37-  b. uang penghargaan masa kerja sebesar 1 (satu)  kali ketentuan Pasal 40 ayat ( 3); dan   c. uang penggantian hak sesuai ketentuan Pasal  40 ayat (4)."
PP_No_35_Tahun_2021_cleaned.txt,PASAL 56,"Pengusaha dapat melakukan Pemutusan Hubungan  Kerja terhadap Pekerja/Buruh karena alasan  Pekerja/Buruh memasuki usia pensiun maka  Pekerja/Buruh berhak atas:   a. uang pesangon sebe sar 1,75 (satu koma tujuh  puluh lima) kali ketentuan Pasal 40 ayat (2);   b. uang penghargaan masa kerja sebesar 1 (satu) kali  ketentuan Pasal 40 ayat (3); dan   c. uang penggantian hak sesuai ketentuan Pasal 40                    ayat (4)."
PP_No_35_Tahun_2021_cleaned.txt,PASAL 57,Pemutusan  Hubungan Kerja karena alasan  Pekerja/Buruh meninggal dunia maka kepada ahli  warisnya diberikan sejumlah uang yang  perhitungannya sama dengan:   a. uang pesangon sebesar 2 (dua) kali ketentuan                  Pasal 40 ayat (2);   b. uang penghargaan masa kerja  sebesar 1 (satu) kali  ketentuan Pasal 40 ayat (3); dan   c. uang penggantian hak sesuai ketentuan Pasal 40            ayat (4).
PP_No_35_Tahun_2021_cleaned.txt,PASAL 58,"(1) Pengusaha yang mengikutsertakan Pekerja/Buruh  dalam program pensiun sesuai dengan ketentuan  peraturan perundang -unda ngan di bidang dana  pensiun, iuran yang dibayar oleh Pengusaha dapat  diperhitungkan sebagai bagian dari pemenuhan  kewajiban Pengusaha atas uang pesangon dan  uang penghargaan masa kerja serta uang pisah  2021, No.45 -38-  akibat Pemutusan Hubungan Kerja sebagaimana  dimaksud d alam Pasal 41 sampai dengan Pasal 52  dan Pasal 54 sampai dengan Pasal 57.   (2) Jika perhitungan manfaat dari program pensiun  sebagaimana dimaksud pada ayat (1) lebih kecil  daripada uang pesangon dan uang penghargaan  masa kerja serta uang pisah maka selisihn ya  dibayar oleh Pengusaha.   (3) Pelaksanaan ketentuan sebagaimana dimaksud  pada ayat (1) diatur dalam Perjanjian Kerja,  Peraturan Perusahaan, atau Perjanjian Kerja  Bersama."
PP_No_35_Tahun_2021_cleaned.txt,PASAL 59,"Pengusaha pada usaha mikro dan usaha kecil wajib  membayar uang pesangon,  uang penghargaan masa  kerja, uang penggantian hak , dan/atau uang pisah bagi  Pekerja/Buruh yang mengalami Pemutusan Hubungan  Kerja dengan besaran ditentukan berdasarkan  kesepakatan antara Pengusaha pada usaha mikro dan  usaha kecil dengan Pekerja/Buruh.     BAB VI : PENGAWASAN KETENAGAKERJAAN"
