judul,Judul_id,Pasal,Pasal_id,Content
PP No 35 Tahun 2021,3003521,PASAL 39,300352100039,"(1) Pekerja/Buruh yang telah mendapatkan surat  pemberitahuan Pemutusan Hubungan Kerja dan  menyatakan menolak, harus membuat surat  penolakan disertai alasan p aling lama  7 (tujuh)  hari kerja setelah diterimanya surat  pemberitahuan.   (2) Dalam hal terjadi perbedaan pendapat mengenai  Pemutusan Hubungan Kerja, penyelesaian  Pemutusan Hubungan Kerja harus dilakukan  melalui perundingan bipartit antara Pengusaha  dengan Pekerja/Buruh dan/atau Serikat  Pekerja/Serikat Buruh.   (3) Dalam hal perundingan bipartit sebagaimana  dimaksud pada ayat (2) tidak mencapai  kesepakatan, penyelesaian Pemutusan Hubungan  Kerja tahap berikutnya dilakukan melalui  mekanisme penyelesaian perselis ihan hubungan  industrial sesuai dengan ketentuan peraturan  perundang  undangan.             2021, No.45  26   Bagian Kedua   Hak Akibat Pemutusan Hubungan Kerja"
PP No 35 Tahun 2021,3003521,PASAL 40,300352100040,"(1) Dalam hal terjadi Pemutusan Hubungan Kerja,  Pengusaha wajib membayar uang pesangon  dan/atau uang penghargaan mas a kerja, dan uang  penggantian hak yang seharusnya diterima.   (2) Uang pesangon sebagaimana dimaksud pada ayat  (1) diberikan dengan ketentuan sebagai berikut:   a. masa kerja kurang dari 1 (satu) tahun, 1  (satu) bulan Upah;   b. masa kerja 1 (satu) tahun atau le bih tetapi  kurang dari 2 (dua) tahun, 2 (dua) bulan  Upah;   c. masa kerja 2 (dua) tahun atau lebih tetapi  kurang dari 3 (tiga) tahun, 3 (tiga) bulan  Upah;   d. masa kerja 3 (tiga) tahun atau lebih tetapi  kurang dari 4 (empat) tahun, 4 (empat) bulan  Upah;   e. masa kerja 4 (empat) tahun atau lebih tetapi  kurang dari 5 (lima) tahun, 5 (lima) bulan  Upah;   f. masa kerja 5 (lima) tahun atau lebih, tetapi  kurang dari 6 (enam) tahun, 6 (enam) bulan  Upah;   g. masa kerja 6 (enam) tahun atau lebih tetapi  kurang dari 7 (tujuh ) tahun, 7 (tujuh) bulan  Upah;   h. masa kerja 7 (tujuh) tahun atau lebih tetapi  kurang dari 8 (delapan) tahun, 8 (delapan)  bulan Upah; dan   i. masa kerja 8 (delapan) tahun atau lebih,                      9 (sembilan) bulan Upah.   (3) Uang penghargaan masa ker ja sebagaimana  dimaksud pada ayat (1) diberikan dengan  2021, No.45  27   ketentuan sebagai berikut:   a. masa kerja 3 (tiga) tahun atau lebih tetapi  kurang dari 6 (enam) tahun, 2 (dua) bulan  Upah;   b. masa kerja 6 (enam) tahun atau lebih tetapi  kurang dari 9 (sembilan) tahun, 3 (tiga) bulan  Upah;   c. masa kerja 9 (sembilan) tahun atau lebih  tetapi kurang dari 12 (dua belas) tahun, 4  (empat) bulan Upah;   d. masa kerja 12 (dua belas) tahun atau lebih  tetapi kurang dari 15 (lima belas) tahun, 5  (lima) bulan Upah;   e. masa kerja 15 (l ima belas) tahun atau lebih  tetapi kurang dari 18 (delapan belas) tahun, 6  (enam) bulan Upah;   f. masa kerja 18 (delapan belas) tahun atau  lebih tetapi kurang dari 21 (dua puluh satu)  tahun,  7 (tujuh) bulan Upah;   g. masa kerja 21 (dua pul uh satu) tahun atau  lebih tetapi kurang dari 24 (dua puluh empat)  tahun,       8 (delapan) bulan Upah; dan   h. masa kerja 24 (dua puluh empat) tahun atau  lebih, 10 (sepuluh) bulan Upah.   (4) Uang penggantian hak yang seharusnya diterima  sebagaimana dimaksud pada ayat (1) meliputi:   a. cuti tahunan yang belum diambil dan belum  gugur;   b. biaya atau ongkos pulang untuk  Pekerja/Buruh dan keluarganya ke tempat  dimana Pekerja/Buruh diterima bekerja; dan   c. hal hal lain yang ditetapkan dalam Perjanjian  Kerja, Peratur an Perusahaan, atau Perjanjian  Kerja Bersama.         2021, No.45  28 "
PP No 35 Tahun 2021,3003521,PASAL 41,300352100041,"Pengusaha dapat melakukan Pemutusan Hubungan  Kerja terhadap Pekerja/Buruh karena alasan  Perusahaan melakukan penggabungan, peleburan atau  pemisahan Perusahaan dan Pekerja/Buruh tidak  bersedia melanjut kan Hubungan Kerja atau Pengusaha  tidak bersedia menerima Pekerja/Buruh maka  Pekerja/Buruh berhak atas:   a. uang pesangon sebesar 1 (satu) kali ketentuan               Pasal 40 ayat (2);   b. uang penghargaan masa kerja sebesar 1 (satu) kali  ketentuan Pasal 40  ayat (3); dan   c. uang penggantian hak sesuai ketentuan Pasal 40              ayat (4)."
PP No 35 Tahun 2021,3003521,PASAL 42,300352100042,"(1) Pengusaha dapat melakukan Pemutusan  Hubungan Kerja terhadap Pekerja/Buruh karena  alasan pengambilalihan Perusahaan maka  Pekerja/Buruh berhak atas:   a. uang pesangon sebesar 1 (satu) kali ketentuan  Pasal 40 ayat (2);   b. uang penghargaan masa kerja sebesar 1 (satu)  kali ketentuan Pasal 40 ayat (3); dan   c. uang penggantian hak sesuai ketentuan Pasal  40 ayat (4).   (2) Dalam hal terjadi pengambilalihan Perusaha an  yang mengakibatkan terjadinya perubahan syarat  kerja dan Pekerja/Buruh tidak bersedia  melanjutkan Hubungan Kerja, Pengusaha dapat  melakukan Pemutusan Hubungan Kerja dan  Pekerja/Buruh berhak atas:   a. uang pesangon sebesar 0,5 (nol koma lima)  kali ketentu an Pasal 40 ayat (2);   b. uang penghargaan masa kerja sebesar 1 (satu)  kali ketentuan Pasal 40 ayat (3); dan     2021, No.45  29   c. uang penggantian hak sesuai ketentuan Pasal  40 ayat (4)."
PP No 35 Tahun 2021,3003521,PASAL 43,300352100043,"(1) Pengusaha dapat melakukan Pemutusan  Hubungan Kerja terhadap Pekerja/Buruh  karena  alasan Perusahaan melakukan efisiensi yang  disebabkan Perusahaan mengalami kerugian maka  Pekerja/Buruh berhak atas:   a. uang pesangon sebesar 0,5 (nol koma lima)  kali ketentuan Pasal 40 ayat (2);   b. uang penghargaan masa kerja sebesar 1 (satu)  kali ketentuan Pasal 40 ayat (3); dan   c. uang penggantian hak sesuai ketentuan Pasal  40 ayat (4).   (2) Pengusaha dapat melakukan Pemutusan  Hubungan Kerja terhadap Pekerja/Buruh karena  alasan Perusahaan melakukan efisiensi untuk  mencegah terjadinya kerugian maka  Pekerja/Buruh berhak atas:   a. uang pesangon sebesar 1 (satu) kali ketentuan  Pasal 40 ayat (2);   b. uang penghargaan masa kerja sebesar 1 (satu)  kali ketentuan Pasal 40 ayat (3); dan   c. uang penggantian hak sesuai ketentuan Pasal  40 ayat (4)."
PP No 35 Tahun 2021,3003521,PASAL 44,300352100044,"(1) Pengusaha dapat melakukan Pemutusan  Hubungan Kerja terhadap Pekerja/Buruh karena  alasan Perusahaan tutup yang disebabkan  Perusahaan mengalami kerugian secara terus  menerus selama 2 (dua) tahun atau mengalami  kerugian tidak secara terus menerus selama 2  (dua) tahun maka Pekerja/Buruh berhak atas:   a. uang pesangon sebesar 0,5 (nol koma lima)  kali ketentuan Pasal 40 ayat (2);   2021, No.45  30   b. uang penghargaan masa kerja sebesar 1 (satu)  kali ketentuan Pasal 40 ayat (3); dan   c. uang penggantian hak sesuai ketentuan Pasal  40 ayat (4).   (2) Pengusaha dapat melakukan Pemutusan  Hubungan Kerja terhadap Pekerja/Buruh karena  alasan Perusahaan tutup yang disebabkan bukan  karena Perusahaan mengalami kerugian maka  Pekerja/Buruh berhak atas:   a. uang pesangon sebesar 1 (satu) kali ketentu an  Pasal 40 ayat (2);   b. uang penghargaan masa kerja sebesar 1 (satu)  kali ketentuan Pasal 40 ayat (3); dan   c. uang penggantian hak sesuai ketentuan Pasal  40 ayat (4)."
PP No 35 Tahun 2021,3003521,PASAL 45,300352100045,"(1) Pengusaha dapat melakukan Pemutusan  Hubungan Kerja terhadap Pekerja/Buruh  karena  alasan Perusahaan tutup yang disebabkan  keadaan memaksa (force majeure)  maka  Pekerja/Buruh berhak atas:   a. uang pesangon sebesar 0,5 (nol koma lima)  kali ketentuan Pasal 40 ayat (2);   b. uang penghargaan masa kerja sebesar 1 (satu)  kali ketentuan Pa sal 40 ayat (3); dan   c. uang penggantian hak sesuai ketentuan Pasal  40 ayat (4).   (2) Pengusaha dapat melakukan Pemutusan  Hubungan Kerja terhadap Pekerja/Buruh karena  alasan keadaan memaksa ( force majeure ) yang  tidak mengakibatkan Perusahaan tutup maka  Pekerja/Buruh berhak atas:   a. uang pesangon sebesar 0,75 (nol koma tujuh  puluh lima) kali ketentuan Pasal 40 ayat (2);   b. uang penghargaan masa kerja sebesar 1 (satu)  kali ketentuan Pasal 40 ayat (3); dan   2021, No.45  31   c. uang penggantian hak sesuai ketentuan Pasal  40 ayat (4)."
PP No 35 Tahun 2021,3003521,PASAL 46,300352100046,"(1) Pengusaha dapat melakukan Pemutusan  Hubungan Kerja terhadap Pekerja/Buruh karena  alasan Perusahaan dalam keadaan penundaan  kewajiban pembayaran utang yang disebabkan  Perusahaan mengalami kerugian maka  Pekerja/Buruh berhak atas:   a. uang pe sangon sebesar 0,5 (nol koma lima)  kali ketentuan Pasal 40 ayat (2);   b. uang penghargaan masa kerja sebesar 1 (satu)  kali ketentuan Pasal 40 ayat (3); dan   c. uang penggantian hak sesuai ketentuan Pasal  40 ayat (4).   (2) Pengusaha dapat melakukan Pemutusan  Hubungan Kerja terhadap Pekerja/Buruh karena  alasan Perusahaan dalam keadaan penundaan  kewajiban pembayaran utang bukan karena  Perusahaan mengalami kerugian maka  Pekerja/Buruh berhak atas:   a. uang pesangon sebesar 1 (satu) kali ketentuan  Pasal 40 ayat (2);   b. uang penghargaan masa kerja sebesar 1 (satu)  kali ketentuan Pasal 40 ayat (3); dan   c. uang penggantian hak sesuai ketentuan Pasal  40 ayat (4)."
PP No 35 Tahun 2021,3003521,PASAL 47,300352100047,"Pemutusan Hubungan Kerja karena alasan Perusahaan  pailit maka Pekerja/Buruh berhak atas:   a. uang pesan gon sebesar 0,5 (nol koma lima) kali  ketentuan Pasal 40 ayat (2);   b. uang penghargaan masa kerja sebesar 1 (satu) kali  ketentuan Pasal 40 ayat (3); dan     2021, No.45  32   c. uang penggantian hak sesuai ketentuan Pasal 40        ayat (4)."
PP No 35 Tahun 2021,3003521,PASAL 48,300352100048,Pengusaha dapat melakukan P emutusan Hubungan  Kerja terhadap Pekerja/Buruh karena alasan adanya  permohonan Pemutusan Hubungan Kerja yang  diajukan oleh Pekerja/Buruh dengan alasan Pengusaha  melakukan perbuatan sebagaimana yang dimaksud  dalam Pasal 36 huruf g maka Pekerja/Buruh berhak  atas:  a. uang pesangon sebesar 1 (satu) kali ketentuan                  Pasal 40 ayat (2);   b. uang penghargaan masa kerja sebesar 1 (satu) kali  ketentuan Pasal 40 ayat (3); dan   c. uang penggantian hak sesuai ketentuan Pasal 40      ayat (4).
